Kinetic,Collision,Radiative,Total, D_Effect
2.000E+00, 1.874E+00, 2.105E-02, 1.895E+00, 1.034E+00
2.100E+00, 1.876E+00, 2.227E-02, 1.898E+00, 1.087E+00
2.200E+00, 1.878E+00, 2.351E-02, 1.901E+00, 1.138E+00
2.300E+00, 1.880E+00, 2.477E-02, 1.904E+00, 1.187E+00
2.400E+00, 1.882E+00, 2.604E-02, 1.908E+00, 1.236E+00
2.500E+00, 1.884E+00, 2.732E-02, 1.911E+00, 1.283E+00
2.600E+00, 1.886E+00, 2.862E-02, 1.915E+00, 1.328E+00
2.700E+00, 1.889E+00, 2.993E-02, 1.919E+00, 1.373E+00
2.800E+00, 1.891E+00, 3.125E-02, 1.923E+00, 1.416E+00
2.900E+00, 1.894E+00, 3.258E-02, 1.926E+00, 1.458E+00
3.000E+00, 1.896E+00, 3.393E-02, 1.930E+00, 1.499E+00
3.100E+00, 1.899E+00, 3.528E-02, 1.934E+00, 1.540E+00
3.200E+00, 1.902E+00, 3.665E-02, 1.938E+00, 1.579E+00
3.300E+00, 1.904E+00, 3.803E-02, 1.942E+00, 1.617E+00
3.400E+00, 1.907E+00, 3.941E-02, 1.946E+00, 1.655E+00
3.500E+00, 1.909E+00, 4.081E-02, 1.950E+00, 1.691E+00
3.600E+00, 1.912E+00, 4.222E-02, 1.954E+00, 1.727E+00
3.700E+00, 1.914E+00, 4.363E-02, 1.958E+00, 1.762E+00
3.800E+00, 1.917E+00, 4.506E-02, 1.962E+00, 1.797E+00
3.900E+00, 1.919E+00, 4.649E-02, 1.966E+00, 1.831E+00
4.000E+00, 1.922E+00, 4.793E-02, 1.970E+00, 1.864E+00
4.100E+00, 1.924E+00, 4.938E-02, 1.973E+00, 1.896E+00
4.200E+00, 1.926E+00, 5.084E-02, 1.977E+00, 1.928E+00
4.300E+00, 1.929E+00, 5.231E-02, 1.981E+00, 1.959E+00
4.400E+00, 1.931E+00, 5.378E-02, 1.985E+00, 1.990E+00
4.500E+00, 1.933E+00, 5.526E-02, 1.989E+00, 2.020E+00
4.600E+00, 1.936E+00, 5.675E-02, 1.992E+00, 2.049E+00
4.700E+00, 1.938E+00, 5.824E-02, 1.996E+00, 2.078E+00
4.800E+00, 1.940E+00, 5.974E-02, 2.000E+00, 2.107E+00
4.900E+00, 1.942E+00, 6.125E-02, 2.003E+00, 2.135E+00
5.000E+00, 1.944E+00, 6.277E-02, 2.007E+00, 2.162E+00
5.100E+00, 1.946E+00, 6.429E-02, 2.011E+00, 2.189E+00
5.200E+00, 1.949E+00, 6.582E-02, 2.014E+00, 2.216E+00
5.300E+00, 1.951E+00, 6.735E-02, 2.018E+00, 2.243E+00
5.400E+00, 1.953E+00, 6.889E-02, 2.022E+00, 2.268E+00
5.500E+00, 1.955E+00, 7.044E-02, 2.025E+00, 2.294E+00
5.600E+00, 1.957E+00, 7.199E-02, 2.029E+00, 2.319E+00
5.700E+00, 1.959E+00, 7.355E-02, 2.032E+00, 2.344E+00
5.800E+00, 1.960E+00, 7.511E-02, 2.036E+00, 2.368E+00
5.900E+00, 1.962E+00, 7.668E-02, 2.039E+00, 2.392E+00
6.000E+00, 1.964E+00, 7.825E-02, 2.042E+00, 2.416E+00
6.100E+00, 1.966E+00, 7.983E-02, 2.046E+00, 2.440E+00
6.200E+00, 1.968E+00, 8.142E-02, 2.049E+00, 2.463E+00
6.300E+00, 1.970E+00, 8.301E-02, 2.053E+00, 2.486E+00
6.400E+00, 1.971E+00, 8.460E-02, 2.056E+00, 2.508E+00
6.500E+00, 1.973E+00, 8.620E-02, 2.059E+00, 2.530E+00
6.600E+00, 1.975E+00, 8.780E-02, 2.063E+00, 2.552E+00
6.700E+00, 1.977E+00, 8.941E-02, 2.066E+00, 2.574E+00
6.800E+00, 1.978E+00, 9.103E-02, 2.069E+00, 2.596E+00
6.900E+00, 1.980E+00, 9.264E-02, 2.073E+00, 2.617E+00
7.000E+00, 1.982E+00, 9.427E-02, 2.076E+00, 2.638E+00
7.100E+00, 1.983E+00, 9.589E-02, 2.079E+00, 2.658E+00
7.200E+00, 1.985E+00, 9.752E-02, 2.082E+00, 2.679E+00
7.300E+00, 1.986E+00, 9.916E-02, 2.085E+00, 2.699E+00
7.400E+00, 1.988E+00, 1.008E-01, 2.089E+00, 2.719E+00
7.500E+00, 1.989E+00, 1.024E-01, 2.092E+00, 2.739E+00
7.600E+00, 1.991E+00, 1.041E-01, 2.095E+00, 2.759E+00
7.700E+00, 1.992E+00, 1.057E-01, 2.098E+00, 2.778E+00
7.800E+00, 1.994E+00, 1.074E-01, 2.101E+00, 2.797E+00
7.900E+00, 1.995E+00, 1.090E-01, 2.104E+00, 2.816E+00
8.000E+00, 1.997E+00, 1.107E-01, 2.107E+00, 2.835E+00
8.100E+00, 1.998E+00, 1.124E-01, 2.111E+00, 2.853E+00
8.200E+00, 2.000E+00, 1.140E-01, 2.114E+00, 2.872E+00
8.300E+00, 2.001E+00, 1.157E-01, 2.117E+00, 2.890E+00
8.400E+00, 2.002E+00, 1.174E-01, 2.120E+00, 2.908E+00
8.500E+00, 2.004E+00, 1.191E-01, 2.123E+00, 2.926E+00
8.600E+00, 2.005E+00, 1.208E-01, 2.126E+00, 2.944E+00
8.700E+00, 2.006E+00, 1.225E-01, 2.129E+00, 2.961E+00
8.800E+00, 2.008E+00, 1.241E-01, 2.132E+00, 2.979E+00
8.900E+00, 2.009E+00, 1.258E-01, 2.135E+00, 2.996E+00
9.000E+00, 2.010E+00, 1.275E-01, 2.138E+00, 3.013E+00
9.100E+00, 2.011E+00, 1.292E-01, 2.141E+00, 3.030E+00
9.200E+00, 2.013E+00, 1.309E-01, 2.144E+00, 3.047E+00
9.300E+00, 2.014E+00, 1.326E-01, 2.147E+00, 3.063E+00
9.400E+00, 2.015E+00, 1.344E-01, 2.149E+00, 3.080E+00
9.500E+00, 2.016E+00, 1.361E-01, 2.152E+00, 3.096E+00
9.600E+00, 2.018E+00, 1.378E-01, 2.155E+00, 3.112E+00
9.700E+00, 2.019E+00, 1.395E-01, 2.158E+00, 3.128E+00
9.800E+00, 2.020E+00, 1.412E-01, 2.161E+00, 3.144E+00
9.900E+00, 2.021E+00, 1.430E-01, 2.164E+00, 3.160E+00
1.000E+01, 2.022E+00, 1.447E-01, 2.167E+00, 3.176E+00
1.010E+01, 2.023E+00, 1.464E-01, 2.170E+00, 3.191E+00
1.020E+01, 2.024E+00, 1.481E-01, 2.173E+00, 3.207E+00
1.030E+01, 2.025E+00, 1.499E-01, 2.175E+00, 3.222E+00
1.040E+01, 2.027E+00, 1.516E-01, 2.178E+00, 3.237E+00
1.050E+01, 2.028E+00, 1.534E-01, 2.181E+00, 3.252E+00
1.060E+01, 2.029E+00, 1.551E-01, 2.184E+00, 3.267E+00
1.070E+01, 2.030E+00, 1.568E-01, 2.187E+00, 3.282E+00
1.080E+01, 2.031E+00, 1.586E-01, 2.189E+00, 3.297E+00
